"created_at","is_retweet","screen_name","tw_id","url","user_favourites_count","user_followers_count","user_friends_count","user_listed_count","user_statuses_count"
"2015-12-10 13:13:12",1,"alexdemichev",674894626759774208,"http://lifenews.ru/video/14175",141,64,48,1,1546
"2015-12-10 13:13:14",1,"Magistr5plus",674894633902743554,"http://www.vesti.ru/doc.html?id=2696591&2696591#",1,19,46,2,2629
"2015-12-10 13:13:15",1,"NastasiaLamina",674894637312696320,"http://lifenews.ru/news/174419",4,41,74,1,2058
"2015-12-10 13:13:19",0,"MiraMilosevich1",674894657021730820,"http://www.vedomosti.ru/opinion/articles/2015/12/10/620365-plan-v#.VmlQADh_WUI.twitter",114,28,72,1,118
"2015-12-10 13:13:20",0,"lykuanov11",674894659001450496,"http://www.ria.ru/defense_safety/20151210/1339513303.html",68,312,849,1,3209
"2015-12-10 13:13:20",0,"christin_solar",674894658850394112,"https://twitter.com/rianru/status/674891397216919552",53,7,40,0,97
"2015-12-10 13:13:21",1,"nkuz_77",674894665510948864,"http://lifenews.ru/news/174424",166,299,265,66,34055
"2015-12-10 13:13:24",1,"gromilics",674894675128541185,"http://lifenews.ru/news/174420",9011,1675,2048,430,44784
"2015-12-10 13:13:25",1,"zorganius",674894680212029440,"http://lifenews.ru/news/174403",147,160,82,5,79394
"2015-12-10 13:13:28",0,"goodvasyl",674894691490471936,"https://twitter.com/lifenews_ru/status/674893146178854912",117,474,292,16,10164
"2015-12-10 13:13:29",0,"dallas702",674894696783695872,"https://twitter.com/lifenews_ru/status/674893146178854912",42,1169,657,25,56138
"2015-12-10 13:13:31",1,"AjaOlja",674894705591754752,"http://lifenews.ru/news/174420",669,611,869,13,22379
"2015-12-10 13:13:31",1,"akulov19476",674894707252662272,"http://ria.ru/economy/20151210/1339529416.html",1250,120,90,2,9132
"2015-12-10 13:13:34",1,"82LexxeL82",674894717398753280,"http://www.forbes.ru/forbeslife-photogallery/dosug/307825-15-del-kotorye-nuzhno-uspet-sdelat-do-kontsa-2015-goda/photo/1",131,27,87,3,3630
"2015-12-10 13:13:36",0,"VladLansbergis",674894726152232961,"http://lifenews.ru/news/174397",29,89,408,4,918
"2015-12-10 13:13:40",1,"MaxInWeb",674894744414220288,"http://vesti.ru/t?2696612",191522,817,90,494,206343
"2015-12-10 13:13:51",1,"Barkerrow",674894791805681664,"http://vesti.ru/t?2696612",462,788,607,58,70964
